subject,seed,framework,method,mse_vs_ideal,wasserstein_vs_ideal
EPCTL01,0,quantum,ideal,0.0,0.0
EPCTL01,0,quantum,no_qec,0.0008410498257317,0.0160901121799015
EPCTL01,0,quantum,uniform_repetition_d3,0.0007674044921692,0.0126366160767938
EPCTL01,0,quantum,application_aware,0.0005431588950293,0.0124057420933343
EPCTL01,0,classical,classical_ideal,0.0,0.0
EPCTL01,0,classical,classical_single_measurement,0.0195657778984257,0.0146441617840082
EPCTL01,0,classical,classical_averaged_50_shots,0.0006450075994734,0.0159890172839977
EPCTL01,1,quantum,ideal,0.0,0.0
EPCTL01,1,quantum,no_qec,0.0008530920382599,0.0166111741711408
EPCTL01,1,quantum,uniform_repetition_d3,0.0010331262826361,0.0146529622217567
EPCTL01,1,quantum,application_aware,0.0007416559795361,0.014568099025645
EPCTL01,1,classical,classical_ideal,0.0,0.0
EPCTL01,1,classical,classical_single_measurement,0.0207308333241006,0.0158535527240571
EPCTL01,1,classical,classical_averaged_50_shots,0.0006464270411237,0.0161957439340336
EPCTL01,2,quantum,ideal,0.0,0.0
EPCTL01,2,quantum,no_qec,0.0007886282379398,0.01603046813709
EPCTL01,2,quantum,uniform_repetition_d3,0.0005954561353849,0.011602282455963
EPCTL01,2,quantum,application_aware,0.0007382784965765,0.0141644671484052
EPCTL01,2,classical,classical_ideal,0.0,0.0
EPCTL01,2,classical,classical_single_measurement,0.0230891747121332,0.0181619334989114
EPCTL01,2,classical,classical_averaged_50_shots,0.0006794926462996,0.0164344104112261
EPCTL02,0,quantum,ideal,0.0,0.0
EPCTL02,0,quantum,no_qec,0.0008816263712313,0.0179710131369583
EPCTL02,0,quantum,uniform_repetition_d3,0.0014196026526275,0.0201577311383675
EPCTL02,0,quantum,application_aware,0.0006104228189197,0.0132487144301117
EPCTL02,0,classical,classical_ideal,0.0,0.0
EPCTL02,0,classical,classical_single_measurement,0.0166268888045497,0.011217394551693
EPCTL02,0,classical,classical_averaged_50_shots,0.0007371526549164,0.0172811756485818
EPCTL02,1,quantum,ideal,0.0,0.0
EPCTL02,1,quantum,no_qec,0.0007954699549239,0.0165299513287155
EPCTL02,1,quantum,uniform_repetition_d3,0.001096438466865,0.0170549617765448
EPCTL02,1,quantum,application_aware,0.0005880338724111,0.0120115564708806
EPCTL02,1,classical,classical_ideal,0.0,0.0
EPCTL02,1,classical,classical_single_measurement,0.0187647522160944,0.0151442131946101
EPCTL02,1,classical,classical_averaged_50_shots,0.0006906692923979,0.016372375415946
EPCTL02,2,quantum,ideal,0.0,0.0
EPCTL02,2,quantum,no_qec,0.0009222328166664,0.0180922035886541
EPCTL02,2,quantum,uniform_repetition_d3,0.0012656903331851,0.018124272525232
EPCTL02,2,quantum,application_aware,0.0004876609898591,0.011669035196555
EPCTL02,2,classical,classical_ideal,0.0,0.0
EPCTL02,2,classical,classical_single_measurement,0.0174156820263504,0.013427393030707
EPCTL02,2,classical,classical_averaged_50_shots,0.0007332501603651,0.0175067467751267
EPCTL03,0,quantum,ideal,0.0,0.0
EPCTL03,0,quantum,no_qec,0.0008891901203107,0.0166988065333882
EPCTL03,0,quantum,uniform_repetition_d3,0.0010183817708423,0.0152138512248629
EPCTL03,0,quantum,application_aware,0.000993796994304,0.0163778262624007
EPCTL03,0,classical,classical_ideal,0.0,0.0
EPCTL03,0,classical,classical_single_measurement,0.0250994965519885,0.019166965175228
EPCTL03,0,classical,classical_averaged_50_shots,0.0006245743268355,0.0157306640231585
EPCTL03,1,quantum,ideal,0.0,0.0
EPCTL03,1,quantum,no_qec,0.0008422795269336,0.0159073356329935
EPCTL03,1,quantum,uniform_repetition_d3,0.0008577919676838,0.0128187179712183
EPCTL03,1,quantum,application_aware,0.0006474783450938,0.0136013903039765
EPCTL03,1,classical,classical_ideal,0.0,0.0
EPCTL03,1,classical,classical_single_measurement,0.0219333590849741,0.0168888162260336
EPCTL03,1,classical,classical_averaged_50_shots,0.0006107399575878,0.0155507902400033
EPCTL03,2,quantum,ideal,0.0,0.0
EPCTL03,2,quantum,no_qec,0.0008110000284357,0.0164718023871965
EPCTL03,2,quantum,uniform_repetition_d3,0.0008263200206912,0.0136089453866299
EPCTL03,2,quantum,application_aware,0.000678970946149,0.0144968860353864
EPCTL03,2,classical,classical_ideal,0.0,0.0
EPCTL03,2,classical,classical_single_measurement,0.018057830145141,0.0145204271314593
EPCTL03,2,classical,classical_averaged_50_shots,0.0005993007870651,0.0151904615049494
EPCTL04,0,quantum,ideal,0.0,0.0
EPCTL04,0,quantum,no_qec,0.0009414426257658,0.0179378556227678
EPCTL04,0,quantum,uniform_repetition_d3,0.0015381796236836,0.0200159910945142
EPCTL04,0,quantum,application_aware,0.0006939441085253,0.0137950411660629
EPCTL04,0,classical,classical_ideal,0.0,0.0
EPCTL04,0,classical,classical_single_measurement,0.0211954659895434,0.0164173191772064
EPCTL04,0,classical,classical_averaged_50_shots,0.0007192305526736,0.0173742981022853
EPCTL04,1,quantum,ideal,0.0,0.0
EPCTL04,1,quantum,no_qec,0.0007812095755334,0.0166196621081136
EPCTL04,1,quantum,uniform_repetition_d3,0.0010390072751327,0.0157687366842757
EPCTL04,1,quantum,application_aware,0.0005774218340173,0.0121959168766995
EPCTL04,1,classical,classical_ideal,0.0,0.0
EPCTL04,1,classical,classical_single_measurement,0.0166188140502331,0.011042950522898
EPCTL04,1,classical,classical_averaged_50_shots,0.0007103650857836,0.0171661518086523
EPCTL04,2,quantum,ideal,0.0,0.0
EPCTL04,2,quantum,no_qec,0.000909227402561,0.0178855395313436
EPCTL04,2,quantum,uniform_repetition_d3,0.0013899324803507,0.0190728057241774
EPCTL04,2,quantum,application_aware,0.0006003394269958,0.0129445633590482
EPCTL04,2,classical,classical_ideal,0.0,0.0
EPCTL04,2,classical,classical_single_measurement,0.018453388918101,0.014808616553765
EPCTL04,2,classical,classical_averaged_50_shots,0.0006745277198312,0.0167204783115785
EPCTL05,0,quantum,ideal,0.0,0.0
EPCTL05,0,quantum,no_qec,0.0008155876082906,0.0164411309578621
EPCTL05,0,quantum,uniform_repetition_d3,0.0013812917475101,0.0168773578238217
EPCTL05,0,quantum,application_aware,0.0006271338485752,0.0119933878462202
EPCTL05,0,classical,classical_ideal,0.0,0.0
EPCTL05,0,classical,classical_single_measurement,0.0369201000160133,0.0251246362281372
EPCTL05,0,classical,classical_averaged_50_shots,0.0007792224481507,0.0178837791017181
EPCTL05,1,quantum,ideal,0.0,0.0
EPCTL05,1,quantum,no_qec,0.0008768107403114,0.0167923468374582
EPCTL05,1,quantum,uniform_repetition_d3,0.0013184747345262,0.0174183972753776
EPCTL05,1,quantum,application_aware,0.000738954788707,0.0124159777690336
EPCTL05,1,classical,classical_ideal,0.0,0.0
EPCTL05,1,classical,classical_single_measurement,0.0187732864617319,0.0154516721805501
EPCTL05,1,classical,classical_averaged_50_shots,0.0007189763163355,0.0169430417697499
EPCTL05,2,quantum,ideal,0.0,0.0
EPCTL05,2,quantum,no_qec,0.0008553692936711,0.0166945642366384
EPCTL05,2,quantum,uniform_repetition_d3,0.0012546850926917,0.0167393290796361
EPCTL05,2,quantum,application_aware,0.0005656817350664,0.0118065004394166
EPCTL05,2,classical,classical_ideal,0.0,0.0
EPCTL05,2,classical,classical_single_measurement,0.0231926986561185,0.0189659075070076
EPCTL05,2,classical,classical_averaged_50_shots,0.0007187845288023,0.017435865106506
