method,physical_qubits,mse_vs_ideal,wasserstein_vs_ideal,subject,seed
ideal,4,0.0,0.0,EPCTL01,0
no_qec,4,0.0008479388281273,0.0161240023133021,EPCTL01,0
uniform_repetition_d3,12,0.0007495956518819,0.0124019300770542,EPCTL01,0
application_aware,16,0.0005123367065562,0.012105358934735,EPCTL01,0
ideal,4,0.0,0.0,EPCTL01,1
no_qec,4,0.0008674665009828,0.0167019592717189,EPCTL01,1
uniform_repetition_d3,12,0.0009866588110362,0.0143305969338121,EPCTL01,1
application_aware,16,0.0007004978884474,0.014331342651688,EPCTL01,1
ideal,4,0.0,0.0,EPCTL01,2
no_qec,4,0.0007738636204597,0.0158385397936644,EPCTL01,2
uniform_repetition_d3,12,0.0005320996201271,0.0112254136581984,EPCTL01,2
application_aware,16,0.0005275311469753,0.0124912929985978,EPCTL01,2
ideal,4,0.0,0.0,EPCTL02,0
no_qec,4,0.0007712137073343,0.0166135883703653,EPCTL02,0
uniform_repetition_d3,12,0.0010845373534104,0.0172490752565798,EPCTL02,0
application_aware,16,0.0010379473122861,0.0169468261261675,EPCTL02,0
ideal,4,0.0,0.0,EPCTL02,1
no_qec,4,0.000779306330786,0.0163346851248602,EPCTL02,1
uniform_repetition_d3,12,0.0010541569608343,0.0167151534623712,EPCTL02,1
application_aware,16,0.0010613205933139,0.0170114533142248,EPCTL02,1
ideal,4,0.0,0.0,EPCTL02,2
no_qec,4,0.0008815497374738,0.0174688832385055,EPCTL02,2
uniform_repetition_d3,12,0.0011069318179514,0.0167476421325063,EPCTL02,2
application_aware,16,0.0011214015500146,0.0170211609529004,EPCTL02,2
ideal,4,0.0,0.0,EPCTL03,0
no_qec,4,0.0008640540436047,0.0163883249465917,EPCTL03,0
uniform_repetition_d3,12,0.0009799585412297,0.0148814546670237,EPCTL03,0
application_aware,16,0.0009404655318446,0.0159858218961393,EPCTL03,0
ideal,4,0.0,0.0,EPCTL03,1
no_qec,4,0.0008498112442791,0.0158317839311435,EPCTL03,1
uniform_repetition_d3,12,0.0007726355812517,0.0122119924057405,EPCTL03,1
application_aware,16,0.0006129396741128,0.01344910280016,EPCTL03,1
ideal,4,0.0,0.0,EPCTL03,2
no_qec,4,0.0008131050237324,0.0164870332526216,EPCTL03,2
uniform_repetition_d3,12,0.0008852347819555,0.0140667613184693,EPCTL03,2
application_aware,16,0.0007290126120607,0.0150584081934686,EPCTL03,2
ideal,4,0.0,0.0,EPCTL04,0
no_qec,4,0.00096341137287,0.0181370043532849,EPCTL04,0
uniform_repetition_d3,12,0.0016396527991168,0.0205186231691393,EPCTL04,0
application_aware,16,0.0014220077290878,0.019611853160835,EPCTL04,0
ideal,4,0.0,0.0,EPCTL04,1
no_qec,4,0.0007926139239739,0.0167939527945173,EPCTL04,1
uniform_repetition_d3,12,0.0010742724284229,0.0162391094033285,EPCTL04,1
application_aware,16,0.001125300832161,0.017115910694253,EPCTL04,1
ideal,4,0.0,0.0,EPCTL04,2
no_qec,4,0.0008954012013456,0.0179610142274136,EPCTL04,2
uniform_repetition_d3,12,0.0013557145929807,0.0190404074747452,EPCTL04,2
application_aware,16,0.0013797189884588,0.0192076691048535,EPCTL04,2
ideal,4,0.0,0.0,EPCTL05,0
no_qec,4,0.0007971667874066,0.0164777837534542,EPCTL05,0
uniform_repetition_d3,12,0.0013801718940534,0.0173263683954606,EPCTL05,0
application_aware,16,0.0011365867967513,0.0172013182988963,EPCTL05,0
ideal,4,0.0,0.0,EPCTL05,1
no_qec,4,0.0008802734139032,0.0169209021842723,EPCTL05,1
uniform_repetition_d3,12,0.0013503117444787,0.0178677667174288,EPCTL05,1
application_aware,16,0.0013828384182421,0.018477156531108,EPCTL05,1
ideal,4,0.0,0.0,EPCTL05,2
no_qec,4,0.0008785690053273,0.016973164876092,EPCTL05,2
uniform_repetition_d3,12,0.0012361590886556,0.0170860072953119,EPCTL05,2
application_aware,16,0.0012719798210038,0.0181597338190804,EPCTL05,2
